                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80202,                  1.225,                 1.0654,                0.64353,                0.63413,                0.65143,                0.45838,                0.88684,                 1.3158,                 1.1352,             0.00055442,             0.00055442,             0.00055442
                      2,                0.83642,                 1.0612,                 1.0847,                0.65719,                0.70276,                 0.7129,                0.52911,                0.79808,                 1.0528,                 1.0812,              0.0010944,              0.0010944,              0.0010944
                      3,                0.79746,                0.99053,                 1.0599,                0.66053,                 0.6729,                0.69148,                0.51754,                0.79404,                 1.0314,                 1.0606,              0.0016186,              0.0016186,              0.0016186
                      4,                0.76298,                0.93192,                 1.0437,                0.68257,                0.74219,                0.75317,                0.59673,                0.65879,                0.95378,                 0.9856,              0.0015963,              0.0015963,              0.0015963
                      5,                0.72092,                0.88107,                 1.0217,                0.74548,                0.74354,                0.79135,                0.61771,                0.65221,                0.81786,                0.97458,              0.0015963,              0.0015963,              0.0015963
                      6,                0.68774,                0.85252,                 1.0067,                0.74599,                0.68591,                0.74768,                0.57523,                0.70721,                0.92759,                 1.0359,              0.0015727,              0.0015727,              0.0015727
                      7,                 0.6688,                0.82782,                0.99965,                0.66044,                0.59599,                0.64332,                0.48841,                0.80582,                 1.1403,                 1.1331,              0.0015491,              0.0015491,              0.0015491
                      8,                0.64719,                0.80011,                0.98989,                0.78098,                0.76536,                0.81154,                0.66023,                0.57893,                0.73547,                0.93707,              0.0015255,              0.0015255,              0.0015255
                      9,                0.63789,                 0.7684,                0.98592,                0.71293,                0.74132,                0.78432,                0.61887,                0.61429,                0.83791,                 0.9566,               0.001502,               0.001502,               0.001502
                     10,                0.63189,                 0.7705,                0.98127,                0.80073,                0.78816,                0.83489,                0.67385,                0.58275,                0.70983,                0.94652,              0.0014784,              0.0014784,              0.0014784
                     11,                0.61643,                0.74469,                0.97712,                0.79171,                0.79322,                0.83562,                0.67377,                0.57395,                0.74228,                 0.9363,              0.0014548,              0.0014548,              0.0014548
