                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.88769,                 1.7166,                 1.0914,                0.37945,                0.53674,                0.31865,                0.20041,                 1.1104,                 5.7469,                 1.3284,             0.00054784,             0.00054784,             0.00054784
                      2,                0.90861,                 1.2547,                 1.0885,                0.17901,                0.29039,                0.14122,                0.08708,                 1.3379,                 7.4658,                 1.7004,              0.0010899,              0.0010899,              0.0010899
                      3,                0.93574,                 1.2209,                 1.1061,                0.35701,                 0.2717,                0.18443,                0.09786,                 1.8661,                 3.6411,                 2.2633,              0.0016181,              0.0016181,              0.0016181
                      4,                0.90409,                 1.1953,                 1.0831,                0.48576,                0.47788,                0.40375,                0.26255,                 1.1063,                 2.2191,                 1.2441,              0.0016051,              0.0016051,              0.0016051
                      5,                0.84421,                  1.104,                 1.0574,                0.55564,                0.60214,                0.52513,                0.33539,                 1.1087,                 2.0381,                 1.2674,              0.0016051,              0.0016051,              0.0016051
                      6,                0.79562,                 1.0637,                 1.0408,                0.52748,                0.61745,                0.55189,                0.39145,                 0.8992,                 2.1244,                 1.1135,              0.0015845,              0.0015845,              0.0015845
                      7,                0.78595,                  1.023,                 1.0333,                0.14334,                0.13829,                0.04588,                0.02134,                  2.291,                 4.4737,                 2.7014,              0.0015639,              0.0015639,              0.0015639
                      8,                0.75674,                0.98853,                  1.014,                0.60063,                0.59682,                 0.5485,                0.37048,                 1.0133,                 1.4533,                 1.2015,              0.0015432,              0.0015432,              0.0015432
                      9,                0.72952,                0.94909,                  1.003,                0.55672,                0.49598,                0.51218,                0.35697,                  1.041,                  1.463,                   1.23,              0.0015226,              0.0015226,              0.0015226
                     10,                0.71647,                  0.939,                 1.0003,                0.66922,                0.70785,                0.65291,                 0.4844,                0.77345,                 1.2014,                 1.0145,               0.001502,               0.001502,               0.001502
                     11,                0.70551,                0.90661,                0.99642,                0.65599,                0.63954,                 0.6461,                0.48716,                0.76457,                 1.2061,                 1.0231,              0.0014813,              0.0014813,              0.0014813
                     12,                0.69067,                0.88428,                0.98404,                0.64388,                0.74648,                0.72665,                  0.547,                0.77482,                 1.0132,                 1.0106,              0.0014607,              0.0014607,              0.0014607
                     13,                 0.6848,                0.88745,                0.98267,                0.69066,                0.68258,                0.69669,                0.52347,                0.77705,                 1.0155,                 1.0073,              0.0014401,              0.0014401,              0.0014401
                     14,                0.69088,                 0.8749,                0.98868,                0.67881,                0.68581,                0.70546,                0.52949,                0.74863,                 1.0286,                0.99533,              0.0014195,              0.0014195,              0.0014195
                     15,                 0.6749,                0.85142,                0.97784,                0.74184,                0.71671,                0.74157,                0.58377,                0.69273,                0.92745,                0.96489,              0.0013988,              0.0013988,              0.0013988
                     16,                0.66944,                0.83982,                0.98223,                0.68219,                0.74794,                0.72296,                0.56898,                0.67555,                 1.0372,                 0.9511,              0.0013782,              0.0013782,              0.0013782
                     17,                0.66604,                0.83451,                0.97571,                0.66966,                0.72091,                0.72665,                0.56513,                0.66903,                 1.0115,                 0.9456,              0.0013576,              0.0013576,              0.0013576
                     18,                0.65611,                0.83105,                0.97399,                0.73914,                0.73672,                0.77412,                 0.6161,                0.64268,                0.84713,                0.93135,              0.0013369,              0.0013369,              0.0013369
                     19,                0.64384,                0.80304,                0.96802,                0.71602,                0.75987,                0.78511,                0.61868,                0.64941,                0.86513,                0.93952,              0.0013163,              0.0013163,              0.0013163
                     20,                0.63301,                0.79421,                0.96534,                0.73408,                0.74188,                0.77263,                0.62138,                0.62594,                0.83858,                0.92333,              0.0012957,              0.0012957,              0.0012957
                     21,                0.63108,                0.79377,                0.95967,                0.71178,                0.69186,                0.73766,                 0.5784,                 0.6369,                0.97996,                0.93775,               0.001275,               0.001275,               0.001275
                     22,                0.63586,                0.78223,                0.96536,                 0.7664,                0.70291,                0.76901,                0.61148,                0.63032,                0.86861,                0.92827,              0.0012544,              0.0012544,              0.0012544
                     23,                 0.6296,                0.77997,                0.96071,                0.69842,                0.73088,                0.74493,                0.59084,                0.62795,                 0.9217,                0.93788,              0.0012338,              0.0012338,              0.0012338
                     24,                0.62306,                0.76242,                0.95861,                0.72777,                0.70587,                0.74642,                0.58745,                  0.654,                0.91248,                0.94692,              0.0012132,              0.0012132,              0.0012132
                     25,                0.61592,                0.74726,                0.95543,                0.73484,                0.74054,                0.77064,                0.61811,                0.61198,                0.87179,                0.91756,              0.0011925,              0.0011925,              0.0011925
                     26,                0.60423,                0.73702,                0.95102,                0.73938,                0.74165,                0.77581,                0.63305,                 0.6295,                   0.84,                0.93057,              0.0011719,              0.0011719,              0.0011719
                     27,                 0.6134,                0.73793,                0.95149,                0.70971,                0.77012,                0.74773,                0.59803,                0.62136,                0.92603,                0.92655,              0.0011513,              0.0011513,              0.0011513
                     28,                0.59838,                0.72974,                0.94383,                0.74312,                0.75196,                0.77919,                0.61846,                0.60498,                0.87001,                0.92532,              0.0011306,              0.0011306,              0.0011306
                     29,                0.60025,                0.72619,                0.95216,                0.72542,                0.65183,                0.70218,                0.53291,                0.75527,                 1.0944,                 1.0142,                0.00111,                0.00111,                0.00111
                     30,                0.59324,                0.72017,                0.94602,                 0.7292,                0.64709,                0.70124,                0.54473,                0.69474,                 1.0494,                0.97038,              0.0010894,              0.0010894,              0.0010894
                     31,                0.59724,                0.70459,                0.95042,                0.79488,                0.70629,                0.79351,                0.64041,                0.59484,                0.78644,                0.92101,              0.0010688,              0.0010688,              0.0010688
                     32,                0.58368,                0.68915,                0.93814,                0.73407,                 0.7024,                0.74813,                0.59611,                0.62534,                0.87584,                0.92597,              0.0010481,              0.0010481,              0.0010481
                     33,                0.58674,                0.69413,                0.94166,                0.74711,                0.69685,                 0.7559,                0.59182,                0.68194,                0.88828,                0.96215,              0.0010275,              0.0010275,              0.0010275
                     34,                0.57987,                0.67009,                 0.9374,                0.77094,                0.71428,                0.78721,                0.63444,                0.61963,                0.81756,                0.92698,              0.0010069,              0.0010069,              0.0010069
                     35,                0.57775,                0.67321,                0.93854,                 0.7628,                0.74738,                0.78701,                0.64547,                0.59301,                0.80598,                0.91243,             0.00098624,             0.00098624,             0.00098624
                     36,                0.58265,                0.65779,                0.93528,                0.71619,                0.67342,                0.73563,                0.57163,                0.68438,                0.95454,                0.95005,             0.00096561,             0.00096561,             0.00096561
