epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.9586,1.50258,2.22301,1.19045,0.71555,0.65352,0.69756,0.40415,1.33905,1.45696,1.08728,0.000664957,0.000664957,0.000664957
2,147.7,1.36821,1.49279,1.11567,0.71953,0.67833,0.73579,0.4459,1.27566,1.20564,1.10016,0.00130526,0.00130526,0.00130526
3,224.13,1.34336,1.3635,1.09055,0.71491,0.67074,0.72177,0.43747,1.30903,1.29063,1.10579,0.00191916,0.00191916,0.00191916
4,301.523,1.28725,1.25837,1.06521,0.79513,0.74079,0.8032,0.50609,1.17414,1.09512,1.02906,0.0018812,0.0018812,0.0018812
5,380.257,1.26007,1.21932,1.0512,0.74543,0.72198,0.74793,0.46361,1.20095,1.29558,1.04621,0.0018416,0.0018416,0.0018416
6,466.787,1.21398,1.14838,1.03445,0.77725,0.7515,0.79594,0.54211,1.07899,1.02196,0.99941,0.001802,0.001802,0.001802
7,558.768,1.20026,1.13031,1.02511,0.7252,0.7456,0.75746,0.50784,1.11448,1.07677,1.00674,0.0017624,0.0017624,0.0017624
8,643.722,1.18363,1.09728,1.01672,0.81124,0.76982,0.83607,0.55062,1.06894,0.97966,0.98123,0.0017228,0.0017228,0.0017228
9,733.005,1.16298,1.07769,1.00189,0.81684,0.78821,0.84382,0.54214,1.12722,0.95884,0.98049,0.0016832,0.0016832,0.0016832
10,822.598,1.13476,1.04367,0.98737,0.82417,0.76942,0.84392,0.54447,1.13419,0.95402,0.97426,0.0016436,0.0016436,0.0016436
11,908.445,1.11367,1.01806,0.98111,0.80677,0.73379,0.81244,0.52895,1.11106,1.01687,0.97988,0.001604,0.001604,0.001604
12,992.855,1.12824,1.01264,0.98969,0.83746,0.75921,0.83981,0.56691,1.03592,0.94651,0.95401,0.0015644,0.0015644,0.0015644
13,1081.15,1.11096,1.00907,0.98606,0.79057,0.77146,0.82069,0.5662,1.04332,0.93211,0.96668,0.0015248,0.0015248,0.0015248
14,1162.69,1.09268,0.96679,0.97596,0.81521,0.80531,0.84679,0.60378,0.97728,0.85123,0.93941,0.0014852,0.0014852,0.0014852
15,1239.06,1.09513,0.97536,0.97474,0.86856,0.80818,0.8797,0.61341,1.0098,0.83832,0.94661,0.0014456,0.0014456,0.0014456
16,1312.28,1.07359,0.94314,0.96559,0.85358,0.78413,0.86692,0.59927,1.00802,0.86565,0.95099,0.001406,0.001406,0.001406
17,1387.27,1.0856,0.95367,0.96948,0.84088,0.81235,0.87604,0.61305,1.00032,0.81839,0.9397,0.0013664,0.0013664,0.0013664
18,1464.28,1.06085,0.94998,0.96483,0.8488,0.81687,0.87379,0.61285,0.9966,0.79696,0.92984,0.0013268,0.0013268,0.0013268
19,1538.73,1.05317,0.90656,0.95652,0.84874,0.81045,0.88151,0.63162,0.97003,0.78719,0.92588,0.0012872,0.0012872,0.0012872
20,1611.59,1.05533,0.90082,0.96006,0.86142,0.83238,0.89639,0.63896,0.9679,0.76244,0.92223,0.0012476,0.0012476,0.0012476
21,1684.13,1.03673,0.89572,0.9495,0.82424,0.8467,0.86618,0.62929,0.95152,0.78815,0.91784,0.001208,0.001208,0.001208
22,1761.54,1.0362,0.89258,0.95211,0.86798,0.833,0.89551,0.63763,0.94638,0.76422,0.91965,0.0011684,0.0011684,0.0011684
