                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.481,                 2.4082,                 1.1971,                0.00113,                0.25095,                0.00072,                0.00036,                    nan,                    nan,                    nan,             0.00065714,             0.00065714,             0.00065714
                      2,                 1.3575,                 1.5483,                 1.1206,                0.00521,                0.08555,                0.00212,                0.00077,                 3.1703,                 130.13,                 9.9518,               0.001302,               0.001302,               0.001302
                      3,                 1.4003,                 1.5843,                 1.1226,                0.30477,                0.28327,                 0.1975,                0.08629,                 1.9446,                 4.6569,                 1.7709,              0.0019248,              0.0019248,              0.0019248
                      4,                 1.3367,                 1.5074,                 1.1059,                0.16406,                0.35171,                0.15805,                0.08858,                 1.4764,                 8.3791,                 1.2705,               0.001901,               0.001901,               0.001901
                      5,                 1.2958,                 1.4121,                 1.0777,                 0.1957,                0.31179,                0.12648,                0.06537,                 1.6456,                 4.2336,                 1.4096,               0.001901,               0.001901,               0.001901
                      6,                 1.2125,                 1.2927,                 1.0309,                0.54714,                0.43916,                0.44463,                0.22553,                 1.6528,                 2.1101,                 1.2965,               0.001868,               0.001868,               0.001868
                      7,                 1.2143,                 1.2736,                  1.044,                0.72327,                0.62738,                0.68788,                0.45758,                  1.124,                 1.3073,                 1.0315,               0.001835,               0.001835,               0.001835
                      8,                 1.1741,                 1.1883,                 1.0165,                0.62444,                0.65749,                0.64065,                0.42067,                 1.1671,                  1.337,                 1.0299,               0.001802,               0.001802,               0.001802
                      9,                 1.1316,                 1.2021,                 1.0052,                0.73423,                0.65653,                0.70374,                0.46834,                 1.0579,                 1.2743,                 1.0078,               0.001769,               0.001769,               0.001769
                     10,                 1.1813,                  1.204,                 1.0296,                0.81168,                0.60646,                 0.7099,                0.45867,                 1.1286,                 1.3844,                 1.0261,               0.001736,               0.001736,               0.001736
                     11,                 1.1258,                  1.124,                 0.9964,                0.77635,                0.65589,                0.75857,                0.52162,                 1.0282,                 1.1205,                0.98762,               0.001703,               0.001703,               0.001703
                     12,                 1.0903,                 1.1035,                0.97804,                0.67494,                0.64343,                0.69836,                0.44301,                 1.1566,                 1.2921,                 1.0109,                0.00167,                0.00167,                0.00167
                     13,                 1.0788,                 1.0858,                0.97922,                0.67017,                0.59875,                 0.6458,                   0.42,                 1.1633,                 1.3234,                 1.0677,               0.001637,               0.001637,               0.001637
                     14,                 1.0812,                 1.0583,                 0.9812,                0.74211,                0.62738,                0.70642,                0.48335,                 1.0332,                 1.4902,                0.97945,               0.001604,               0.001604,               0.001604
                     15,                 1.0663,                 1.0319,                0.97541,                0.61937,                0.59696,                0.64232,                0.40588,                 1.1877,                 1.3039,                 1.0412,               0.001571,               0.001571,               0.001571
                     16,                  1.055,                 1.0281,                0.97665,                0.75771,                0.74715,                0.78466,                0.54042,                 1.0233,                 1.0104,                0.97991,               0.001538,               0.001538,               0.001538
                     17,                  1.052,                 1.0046,                0.97577,                0.73535,                0.75011,                0.78654,                0.52574,                 1.0267,                 1.0844,                 0.9827,               0.001505,               0.001505,               0.001505
                     18,                 1.0656,                 1.0064,                0.97309,                 0.8224,                0.73194,                0.81729,                0.57906,                0.98597,                 0.9784,                0.96316,               0.001472,               0.001472,               0.001472
                     19,                 1.0639,                0.98155,                 0.9691,                0.75646,                0.60646,                0.71479,                0.43293,                 1.1679,                 1.4653,                 1.0479,               0.001439,               0.001439,               0.001439
                     20,                 1.0058,                 0.9677,                0.95286,                0.83725,                0.67871,                0.79757,                0.55794,                0.99677,                 1.0413,                0.98009,               0.001406,               0.001406,               0.001406
                     21,                 1.0098,                0.94151,                0.94753,                0.83368,                 0.7052,                0.80419,                0.55678,                 1.0066,                 1.0105,                0.95684,               0.001373,               0.001373,               0.001373
                     22,                 0.9915,                 0.9297,                  0.941,                0.82786,                0.72814,                0.80411,                0.55638,                 1.0033,                0.96451,                0.97889,                0.00134,                0.00134,                0.00134
                     23,                 1.0062,                0.93588,                0.95121,                0.75982,                0.76426,                0.79232,                0.56523,                0.96365,                0.94407,                0.95355,               0.001307,               0.001307,               0.001307
                     24,                0.99073,                 0.9212,                0.94599,                0.85038,                0.73954,                0.82978,                 0.5855,                 1.0115,                0.92538,                0.94593,               0.001274,               0.001274,               0.001274
                     25,                0.97259,                0.87035,                0.92893,                0.83624,                0.75856,                0.82601,                0.59638,                0.96816,                0.88627,                0.95002,               0.001241,               0.001241,               0.001241
                     26,                 0.9827,                0.88361,                0.94556,                0.67076,                0.62167,                0.67544,                0.43324,                 1.1499,                  1.428,                0.97879,               0.001208,               0.001208,               0.001208
                     27,                0.97852,                0.87477,                0.93769,                0.70969,                0.69962,                0.75202,                0.52139,                 1.0192,                 1.2365,                0.98201,               0.001175,               0.001175,               0.001175
                     28,                0.97727,                0.86272,                0.94316,                0.70389,                0.65982,                0.70677,                0.48118,                 1.0542,                 1.3859,                 1.0337,               0.001142,               0.001142,               0.001142
                     29,                0.96839,                0.85609,                0.93382,                0.72505,                0.62667,                0.70279,                0.46213,                 1.1791,                 1.4262,                 1.0492,               0.001109,               0.001109,               0.001109
